STATE,RATE,DEATHS,INDEPENDENT--> ,POVRT,PARTY,CRIME,URBAN,LEGI,MINORITY,GANG,AGE,,EDUC,MENTAL,INCOME,BKRND,URL,,,,
ALABAMA,16.7,19.6,,18.5000,1,472.4,59.0,17.5,33.0,0,37.9,0.2800 ,28.0000 ,78.19,33062.00,0,/nchs/pressroom/states/alabama.htm,,,,59.0
ALASKA,18.8,23.4,,10.3000,1,730.2,66.0,7.0,35.9,0,33.8,0.2750 ,27.5000 ,310.01,25715.00,0,/nchs/pressroom/states/alaska.htm,,,,66.0
ARIZONA,13.4,13.8,,17.4000,1,410.2,89.8,6.0,42.2,0,35.9,0.2110 ,21.1000 ,221.27,22883.00,0,/nchs/pressroom/states/arizona.htm,,,,89.8
ARKANSAS,16.4,16.9,,19.1000,1,521.3,56.2,15.0,25.5,0,37.4,0.3140 ,31.4000 ,42.02,30441.00,0,/nchs/pressroom/states/arkansas.htm,,,,56.2
CALIFORNIA,7.4,7.7,,15.3000,0,426.3,95.0,89.0,59.9,1,35.2,0.3810 ,38.1000 ,152.60,32357.00,1,/nchs/pressroom/states/california.htm,,,,95.0
COLORADO,12.1,12.6,,11.5000,0,321,86.2,28.5,30.0,0,36.1,0.3760 ,37.6000 ,88.41,39373.00,1,/nchs/pressroom/states/colorado.htm,,,,86.2
CONNECTICUT,4.9,5.3,,10.5000,0,218.5,88.0,84.0,28.8,0,40,0.3000 ,30.0000 ,189.34,30488.00,0,/nchs/pressroom/states/connecticut.htm,,,,88.0
DELAWARE,11.1,12.1,,12.4000,0,499,83.3,48.5,34.7,0,38.8,0.2730 ,27.3000 ,106.04,26582.00,0,/nchs/pressroom/states/delaware.htm,,,,83.3
FLORIDA,11.5,12,,15.7000,1,461.9,91.2,17.0,42.1,0,40.7,0.2880 ,28.8000 ,39.55,25615.00,0,/nchs/pressroom/states/florida.htm,,,,91.2
GEORGIA,13.7,14.1,,17.0000,1,378.3,75.1,16.0,44.1,0,35.3,0.3080 ,30.8000 ,46.54,29736.00,0,/nchs/pressroom/states/georgia.htm,,,,75.1
HAWAII,2.6,3.6,,10.6000,0,293.4,91.9,72.5,77.3,0,38.6,0.2590 ,25.9000 ,169.99,23938.00,1,/nchs/pressroom/states/hawaii.htm,,,,91.9
IDAHO,13.1,14.7,,15.1000,1,215.6,70.6,14.0,16.0,1,34.6,0.3230 ,32.3000 ,36.64,30417.00,0,/nchs/pressroom/states/idaho.htm,,,,70.6
ILLINOIS,9,9.5,,13.6000,0,383.8,88.5,59.0,36.3,1,36.6,0.2410 ,24.1000 ,80.43,25140.00,1,/nchs/pressroom/states/illinois.htm,,,,88.5
INDIANA,12.3,12.7,,14.5000,1,387.5,72.4,18.5,18.5,0,37,0.2670 ,26.7000 ,81.73,28361.00,0,/nchs/pressroom/states/indiana.htm,,,,72.4
IOWA,7.4,7.8,,12.2000,1,286.1,64.0,28.0,11.3,0,38.1,0.3100 ,31.0000 ,134.46,27870.00,0,/nchs/pressroom/states/iowa.htm,,,,64.0
KANSAS,11.3,11.4,,13.0000,1,389.9,74.2,10.0,21.8,0,36,0.2230 ,22.3000 ,132.33,23684.00,0,/nchs/pressroom/states/kansas.htm,,,,74.2
KENTUCKY,13.8,15.2,,18.5000,1,218.7,58.4,10.5,13.7,0,38.1,0.2250 ,22.5000 ,53.69,24800.00,0,/nchs/pressroom/states/kentucky.htm,,,,58.4
LOUISIANA,18.9,20.4,,19.6000,1,539.7,73.2,12.0,39.7,0,35.8,0.2900 ,29.0000 ,62.37,27978.00,0,/nchs/pressroom/states/louisiana.htm,,,,73.2
MAINE,9.3,9.8,,13.4000,0,130.1,38.7,17.0,5.6,0,42.7,0.3790 ,37.9000 ,346.92,36338.00,0,/nchs/pressroom/states/maine.htm,,,,38.7
MARYLAND,9,11.9,,9.7000,0,457.2,87.2,80.5,45.3,0,38,0.4050 ,40.5000 ,164.11,36593.00,0,/nchs/pressroom/states/maryland.htm,,,,87.2
MASSACHUSETTS,3.2,3,,11.5000,0,390.9,92.0,74.5,23.9,0,39.1,0.2690 ,26.9000 ,109.07,26613.00,1,/nchs/pressroom/states/massachusetts.htm,,,,92.0
MICHIGAN,11.1,11.7,,15.8000,1,415.5,74.6,29.0,23.4,0,38.9,0.3370 ,33.7000 ,119.23,32638.00,0,/nchs/pressroom/states/michigan.htm,,,,74.6
MINNESOTA,6.6,7.4,,10.2000,0,242.6,73.3,33.5,16.9,0,37.4,0.2070 ,20.7000 ,150.18,21036.00,0,/nchs/pressroom/states/minnesota.htm,,,,73.3
MISSISSIPPI,18,19.6,,22.0000,1,275.8,49.4,10.0,42.0,0,36,0.2710 ,27.1000 ,114.95,26126.00,0,/nchs/pressroom/states/mississippi.htm,,,,49.4
MISSOURI,15.2,18.1,,14.8000,1,497.4,70.4,13.5,19.0,0,37.9,0.2950 ,29.5000 ,86.75,25989.00,0,/nchs/pressroom/states/missouri.htm,,,,70.4
MONTANA,15.8,19.2,,14.6000,1,349.6,55.9,11.0,12.2,0,39.8,0.2930 ,29.3000 ,173.59,27446.00,0,/nchs/pressroom/states/montana.htm,,,,55.9
